product_id,product_type,product_name,product_gender_target,product_category,product_season,product_condition,product_like_count,sold,reserved,available,in_stock,should_be_gone,brand_id,brand_name,brand_url,product_material,product_color,price_usd,seller_price,seller_earning,seller_badge,has_cross_border_fees,buyers_fees,warehouse_name,seller_id,seller_username,seller_country,seller_products_sold,seller_num_products_listed,seller_community_rank,seller_num_followers,seller_pass_rate,price_range,conversion_rate,shipping_days
42393156,Jacket,Jacket Ted Baker White size XS International in Polyester ,Women,women clothing,All seasons,Never worn,2,0,0,1,0,0,2910,ted baker,http://vestiairecollective.com/ted-baker/,Polyester,white,102.24,85.2,71.36,Common,1,17.04,Tourcoing,21141053,eliza21141053,germany,0,9,0,12,0.0,low,0.0,1
38593610,Shirt,Shirt Eton Pink size 40 EU (tour de cou / collar) in Cotton ,Men,men clothing,All seasons,Good condition,1,0,0,1,0,0,12928,eton,http://vestiairecollective.com/eton/,Cotton,pink,80.81,67.34,48.64,Common,1,13.47,Crawley,15322244,SydneySellsUnique,united kingdom,2181,2560,2371,1410,95.0,very_low,0.851953125,1
27478829,Leather wallet,Leather wallet Bottega Veneta Pink in Leather ,Women,women accessories,All seasons,Good condition,16,0,0,1,0,0,115,bottega veneta,http://vestiairecollective.com/bottega-veneta/,Leather,pink,165.0,165.0,143.55,Common,1,0.0,Brooklyn,2190859,GoldAndBeyond,united states,1813,3874,51169,3483,88.0,low,0.46799174,1
41538414,Sunglasses,Sunglasses OAKLEY Multicolour in Plastic ,Men,men accessories,All seasons,Very good condition,39,0,0,0,0,0,7922,oakley,http://vestiairecollective.com/oakley/,Plastic,multicolour,95.85,79.88,63.9,Common,1,15.98,Tourcoing,13721078,eleni13721078,cyprus,7,6,0,9,42.0,very_low,1.166666667,1
43145552,T-shirt,T,Women,women clothing,All seasons,Very good condition,12,0,0,1,0,0,8898,alexa chung,http://vestiairecollective.com/alexa-chung/,Cotton,white,42.9,39.0,36.0,Common,1,3.9,Brooklyn,26017829,mariexxm,united states,0,10,0,6,0.0,very_low,0.0,1
43045464,T-shirt,T,Women,women clothing,All seasons,Good condition,0,0,0,1,0,0,12465,river woods,http://vestiairecollective.com/river-woods/,Cotton,blue,38.34,31.95,15.98,Common,1,6.39,Tourcoing,17159054,Debberie,netherlands,164,2543,0,106,79.0,very_low,0.064490759,1
41929346,Velvet vest,Velvet vest Liu.Jo Black size L International in Velvet ,Men,men clothing,All seasons,Never worn,4,0,0,1,0,0,491,liu.jo,http://vestiairecollective.com/liujo/,Velvet,black,108.63,90.53,76.68,Trusted,1,18.11,Tourcoing,25438881,salvatore25438881,italy,4,45,0,150,100.0,low,0.088888889,1
42653632,Silk mid-length dress,Silk mid,Women,women clothing,All seasons,Very good condition,7,0,0,1,0,0,638,adolfo dominguez,http://vestiairecollective.com/adolfo-dominguez/,Silk,red,44.73,37.28,23.43,Expert,1,7.46,Tourcoing,20148558,ianasavchenko20148558,spain,17,52,0,19,94.0,very_low,0.326923077,1
42912303,White gold jewellery,White gold jewellery Gucci Black in White gold ,Men,men accessories,All seasons,Good condition,0,0,0,1,0,0,2,gucci,http://vestiairecollective.com/gucci/,White gold,black,447.45,372.87,361.69,Common,1,74.57,Crawley,10262402,thehideout,united kingdom,231,282,6253,429,95.0,low,0.819148936,1
31583383,Leather low trainers,Leather low trainers Neil Barrett Black size 41 EU in Leather ,Men,men shoes,All seasons,Never worn,0,0,0,1,0,0,3263,neil barrett,http://vestiairecollective.com/neil-barrett/,Leather,black,408.96,340.8,279.46,Common,1,68.16,Tourcoing,16774308,LMPL,italy,656,39627,298090,813,53.0,low,0.016554369,3
